39912	鯨	king4	k’	ing	陽平	其丁
28092	涼	loeng4	l	eong	陽平	耒章
20937	凉	loeng4	l	eong	陽平	耒章
25504	掠	loek6	l	eok	陽入	耒約
35538	諒	loeng6	l	eong	陽去	耒上
20141	亭	ting4	t’	ing	陽平	同丁
20572	停	ting4	t’	ing	陽平	同丁
23159	婷	ting4	t’	ing	陽平	同丁
20142	亮	loeng6	l	eong	陽去	耒上
21928	喨	loeng6	l	eong	陽去	耒上
20150	亶	taan2	t’	an	陰上	太晚
22727	壇	taan4	t’	an	陽平	同飡
27264	檀	taan4	t’	an	陽平	同飡
27656	氈	zhin1	ch	een	陰平	之天
27658	氊	zhin1	ch	een	陰平	之天
39019	顫	zhin1	ch	een	陰平	之天
25797	擅	shin6	s’	een	陽去	時見
20153	亹	mei5	m	ěy	陽上	明彼
20154	人	jan4	y	a’n	陽平	由申
20164	仄	zhak1	ch	a’k	陰入	之則
26115	昃	zhak1	ch	a’k	陰入	之則
20161	仁	jan4	y	a’n	陽平	由申
20170	今	gam1	k	um	陰平	見金
34942	衾	kam1	k’	um	陰平	啟金
29748	琴	kam4	k’	um	陽平	其金
32825	耹	kam4	k’	um	陽平	其金
22935	妗	kam5	k’	um	陽上	其審
40660	黔	kim4	k’	eem	陽平	其廉
21535	吟	jam4	y	um	陽平	由金
30684	矜	ging1	k	ing	陰平	見丁
20171	介	gaai3	k	ea	陰去	見界
30028	界	gaai3	k	ea	陰去	見界
33445	芥	gaai3	k	ea	陰去	見界
29600	玠	gaai3	k	ea	陰去	見界
13361	㐱	zhan1	ch	a’n	陰平	之申
29645	珍	zhan1	ch	a’n	陰平	之申
36587	軫	zhan2	ch	a’n	陰上	之忍
30043	畛	zhan2	ch	a’n	陰上	之忍
32062	紾	zhan2	ch	a’n	陰上	之忍
34967	袗	zhan2	ch	a’n	陰上	之忍
30137	疹	zhan2	ch	a’n	陰上	之忍
27524	殄	tin5	t’	een	陽上	同典
20184	付	fu6	f	oo	陽去	扶父
38468	附	fu6	f	oo	陽去	扶父
39385	駙	fu6	f	oo	陽去	扶父
31060	祔	fu6	f	oo	陽去	扶父
25290	拊	fu2	f	oo	陰上	非苦
24355	弣	fu2	f	oo	陰上	非苦
31526	符	fu4	f	oo	陽平	扶烏
