⺤	⺥
𦳯	蒁
蒀	蒕
𫎇	蒙
𦻴	蓵
蓘	蔉
𦷾	蔕
𬞈	蔗
𦽠	蔜
蒍	蔿
蕰	薀
𧃡	薻
𦿾	藜
𧄇	蘅
藴	蘊
𧁨	蘓
𡖂	虁
𧅄	虁
𮓗	虍
𭅰	虍
𭅯	虍
𬻉	虍
𮓙	虎
𧆠	虖
虚	虛
𮓥	虞
𧈅	虩
𮓰	虫
𧉕	蚕
𧈡	蚤
𫊫	蚤
𧊨	蚦
蜖	蛔
𧊑	蛖
𧉨	蛩
蜕	蛻
𧎉	蜣
𧍑	蝄
𧑛	蟰
𧒲	蠊
𫟘	衞
𢖍	衡
𮕩	衰
𡊮	袁
𡋡	袁
䘠	袚
衮	袞
𬡄	袞
𧞬	襳
𫟜	觀
觧	解
𣫅	觳
𧥠	訄
𧦖	訰
訮	詽
𧦷	詾
説	說
𧪌	誱
𧩽	諄
䛕	諛
𧪿	講
𧫴	謹
𧭖	議
𫟝	讓
䜟	讖
𧰼	象
豜	豣
𭾛	貞
𢎐	貳
賘	賍
賔	賓
頼	賴
𧸟	贅
𦢼	贏
𧺆	走
赱	走
𣥚	走
𰷳	趄
𧻬	趍
𧻞	趓
𰷿	趫
𠯁	足
跺	跥
𨂹	踴
𨃒	踴
躱	躲
輺	輜
𰹝	輢
軿	輧
輼	轀
𨏋	轈
𨐌	辛
𫝕	辰
𭆒	農
迖	达
𨑙	迅
逥	迴
迸	逬
𨓻	逯
𨓜	逸
逹	達
逺	遠
𨗯	遨
𨙻	那
邢	郉
郎	郞
𮟿	郿
郷	鄕
鄉	鄕
𨞤	鄶
𮠔	鄽
𨢄	醜
醖	醞
釼	釰
鉩	鉨
鋭	銳
𨦵	鋩
録	錄
𨪆	錡
錬	鍊
𨭀	鎘
鎮	鎭
𨭼	鐐
䥥	鐮
𨯒	鑯
𨳇	門
閠	閏
閲	閱
䦨	闌
隂	陰
𨺓	隆
陧	隉
𨻶	隙
隷	隸
𨽻	隸
𨽾	隸
𫕙	隸
𨽹	隸
寉	隺
𨿽	雖
𮥿	雚
𩃓	電
青	靑
静	靜
靣	面
𩉠	靫
靱	靭
